SaleID,Date,Region,ProductID,Amount
1,4/11/2024,West,104,180.08
2,3/7/2024,West,109,
3,2/15/2024,West,102,204.21
4,7/22/2024,West,110,429.82
5,7/20/2024,West,102,169.22
6,2/22/2024,West,103,
7,4/11/2024,West,100,438.2
8,8/12/2024,West,107,325.19
9,9/7/2024,West,100,401.8
10,11/28/2024,West,102,
11,8/14/2024,West,105,
12,9/11/2024,West,102,128.07
13,11/1/2024,West,100,281.71
14,5/22/2024,West,109,411.79
15,1/9/2024,West,105,
16,6/14/2024,West,100,
17,7/15/2024,West,103,317.08
18,12/20/2024,West,102,
19,9/12/2024,West,110,
20,1/21/2024,West,100,103.98
21,6/7/2024,West,106,
22,2/13/2024,West,102,
23,7/6/2024,West,101,
24,3/17/2024,West,109,348.86
25,5/3/2024,West,105,
26,11/19/2024,West,106,
27,8/8/2024,West,108,
28,9/4/2024,West,109,
29,11/20/2024,West,106,
30,6/1/2024,West,105,
31,4/11/2024,West,103,369.8
32,9/24/2024,West,101,370.14
33,6/28/2024,West,106,254.98
34,8/23/2024,West,108,213.75
35,6/1/2024,West,101,
36,4/20/2024,West,105,
37,2/22/2024,West,108,
38,4/11/2024,West,102,
39,6/28/2024,West,102,283.14
40,8/11/2024,West,102,
41,1/2/2024,West,105,403.66
42,6/21/2024,West,110,350.26
43,6/9/2024,West,107,207.99
44,3/24/2024,West,100,
45,3/27/2024,West,110,466.19
46,2/15/2024,West,101,100.29
47,6/11/2024,West,104,
48,9/16/2024,West,104,164.37
49,1/5/2024,West,102,
50,6/12/2024,West,102,
