SaleID,Date,Region,ProductID,Amount
1,4/16/2024,East,103,
2,5/5/2024,East,110,140.51
3,2/18/2024,East,100,
4,11/25/2024,East,108,249.67
5,7/26/2024,East,109,194.35
6,2/18/2024,East,102,499.69
7,6/18/2024,East,105,
8,8/23/2024,East,103,
9,11/2/2024,East,103,
10,10/6/2024,East,104,
11,12/28/2024,East,103,431.96
12,5/27/2024,East,106,246.28
13,12/18/2024,East,109,458.44
14,11/4/2024,East,104,457.71
15,10/8/2024,East,108,
16,10/5/2024,East,105,354.42
17,8/20/2024,East,101,199.21
18,11/5/2024,East,110,250.22
19,7/25/2024,East,101,
20,8/6/2024,East,109,221.92
21,2/12/2024,East,105,392.77
22,12/1/2024,East,107,
23,2/3/2024,East,101,
24,10/7/2024,East,110,283.5
25,1/17/2024,East,109,497.63
26,2/2/2024,East,106,
27,11/24/2024,East,106,138.84
28,11/28/2024,East,108,
29,11/19/2024,East,103,234.11
30,3/17/2024,East,101,
31,11/11/2024,East,103,
32,3/8/2024,East,109,
33,11/24/2024,East,109,170.67
34,12/25/2024,East,101,180.31
35,4/13/2024,East,103,
36,9/19/2024,East,109,211.14
37,10/10/2024,East,107,109.81
38,11/22/2024,East,110,
39,8/28/2024,East,100,267.69
40,7/6/2024,East,106,427.37
41,11/24/2024,East,101,148.75
42,7/22/2024,East,102,
43,5/4/2024,East,102,155.68
44,8/22/2024,East,109,
45,3/15/2024,East,102,
46,9/14/2024,East,103,285.08
47,1/10/2024,East,105,
48,7/16/2024,East,109,
49,1/26/2024,East,105,
50,12/21/2024,East,103,407.96
